OurAffLink,Title,Image,Price,Merchant,Points,Team,Type,Season,ID
http://www.awin1.com/pclick.php?p=3517677859&a=215431&m=6716,2011-13 Chelsea White GK Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-11-gk-wte-tags_2.jpg,17.99,classic football shirts,0,Chelsea,shirt,2011,23
http://www.awin1.com/pclick.php?p=3517677861&a=215431&m=6716,2012-13 Liverpool Away L/S Shirt *BNIB* L,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-12-away-ls-tags_6.jpg,12.99,classic football shirts,0,Liverpool,shirt,2012,24
http://www.awin1.com/pclick.php?p=3517677883&a=215431&m=6716,2010-11 Manchester United Home Shirt *BNIB* XL.Boys,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-10-home-boys-tags_1.jpg,14.99,classic football shirts,0,Manchester United,shirt,2010,25
http://www.awin1.com/pclick.php?p=3517678569&a=215431&m=6716,2014-15 Liverpool Warrior Training Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-train-red-tags.jpg,14.99,classic football shirts,0,Liverpool,shirt,2014,26
http://www.awin1.com/pclick.php?p=3517678643&a=215431&m=6716,2012-13 Manchester United Nike Pre-Match Training Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-12-train-prem-blk-tags.jpg,24.99,classic football shirts,0,Manchester United,shirt,2012,27
http://www.awin1.com/pclick.php?p=3517678661&a=215431&m=6716,2010-11 Arsenal Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-10-home-tags2.jpg,49.99,classic football shirts,0,Arsenal,shirt,2010,28
http://www.awin1.com/pclick.php?p=3517678885&a=215431&m=6716,2012-13 Manchester City Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-city-12-away-tags_2_3.jpg,19.99,classic football shirts,0,Manchester City,shirt,2012,29
http://www.awin1.com/pclick.php?p=3517678889&a=215431&m=6716,2012-13 Chelsea Third L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/c/h/chelsea-12-third-tags-ls.jpg,39.99,classic football shirts,0,Chelsea,shirt,2012,30
http://www.awin1.com/pclick.php?p=3517678899&a=215431&m=6716,2013-14 Liverpool Away L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-13-away-ls-tags_2.jpg,27.99,classic football shirts,0,Liverpool,shirt,2013,31
http://www.awin1.com/pclick.php?p=3517678901&a=215431&m=6716,2013-14 Liverpool Home L/S Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-13-home-ls-tags_1.jpg,27.99,classic football shirts,0,Liverpool,shirt,2013,32
http://www.awin1.com/pclick.php?p=3517679005&a=215431&m=6716,2014-15 Liverpool Home Shirt *BNIB* Womens,https://www.classicfootballshirts.co.uk/media/catalog/product/l/i/liverpool-14-home-wom-tags.jpg,15.99,classic football shirts,0,Liverpool,shirt,2014,33
http://www.awin1.com/pclick.php?p=3517679169&a=215431&m=6716,2013-14 Sunderland Away L/S Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/s/u/sunderland-13-away-ls-tags_4.jpg,19.99,classic football shirts,0,Sunderland,shirt,2013,34
